id,trial,view.angle,view.dist,fishtank,start.angle,hinge.length,hinge.z.pos,hinge.angle,response
FISHTANK,1,30.000000,1.000000,1,101,10.000000,5.000000,93.000000,acute,
FISHTANK,1,30.000000,1.000000,1,101,10.000000,5.000000,95.000000,acute,
FISHTANK,1,30.000000,1.000000,1,101,10.000000,5.000000,97.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,96.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,98.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,104.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,98.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,104.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,106.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,108.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,110.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,108.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,106.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,104.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,98.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,104.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,106.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,108.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,106.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,104.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,98.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,104.000000,acute,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,106.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,104.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,102.000000,obtuse,
FISHTANK,2,15.000000,1.000000,1,106,10.000000,5.000000,100.000000,acute,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,83.000000,obtuse,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,81.000000,obtuse,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,79.000000,obtuse,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,77.000000,obtuse,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,75.000000,obtuse,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,73.000000,acute,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,75.000000,acute,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,77.000000,acute,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,79.000000,acute,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,81.000000,acute,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,83.000000,acute,
FISHTANK,3,-30.000000,1.000000,1,75,10.000000,5.000000,85.000000,acute,
