id,trial,view.angle,view.dist,fishtank,start.angle,hinge.length,hinge.z.pos,hinge.angle,response
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,90.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,92.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,94.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,96.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,98.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,96.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,98.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,100.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,102.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,100.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,102.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,104.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,106.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,104.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,102.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,100.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,102.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,104.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,106.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,104.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,102.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,100.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,102.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,104.000000,acute,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,106.000000,obtuse,
FISHTANK,0,0.000000,1.000000,1,100,10.000000,-5.000000,104.000000,obtuse,
